id,name,place,start_day,end_day
230,第42回　関東理工系学生陸上競技大会,,2010-09-11,2010-09-11
231,第25回　国公立22大学対校陸上競技大会,,2010-09-24,2010-09-24
232, 秋季オープン競技会,,2010-10-11,2010-10-11
233, 早稲田大学陸上競技同好会記録挑戦会,,2010-10-17,2010-10-17
234, 日体大記録会,日体大,2010-10-23,2010-10-23
235, 平成国際大学記録会,,2010-10-23,2010-10-23
236,川崎陸上競技フェスティバル,,2010-10-24,2010-10-24
237, 全日本競歩高畠大会,,2010-10-31,2010-10-31
238, ぐんま県民マラソン,,2010-11-03,2010-11-03
239,東大競技会,東京大学,2010-11-06,2010-11-07
240,東海大学記録会,,2010-11-13,2010-11-13
241,第1回　東京大学ディスタンスチャレンジ　　,,2010-11-28,2010-11-28
242,小江戸川越マラソン2010,,2010-11-28,2010-11-28
243,第11回 荒川河川敷大学対校駅伝,,2010-12-19,2010-12-19
244,上尾市陸上競技選手権冬季大会,,2010-12-23,2010-12-23
245,第35回 千葉マリンマラソン,千葉県千葉市美浜区,2011-01-23,2011-01-23
246,第55回 調布市民駅伝競走大会,調布市内,2011-01-31,2011-01-31
247,第6回 国士舘大学競技会,国士舘大学,2011-03-30,2011-03-30
248,第214回　日本体育大学長距離競技会,日本体育大学,2011-04-16,2011-04-17
249,第215回 日本体育大学長距離競技会?,日本体育大学,2011-04-30,2011-05-01
250,第68回日本体育大学陸上競技会,日本体育大学,2011-05-01,2011-05-03
251,第90回関東学生陸上競技対校選手権大会,国立競技場,2011-05-14,2011-05-15
252,第217回　日本体育大学長距離競技会,日本体育大学,2011-06-11,2011-06-11
253,第3回 国士舘大学競技会,国士舘大学,2011-06-25,2011-06-25
254,第70回 日本体育大学陸上競技会,日本体育大学,2011-06-25,2011-06-25
255,第7回NSSUオープン,日本体育大学,2011-08-20,2011-08-21
256,第43回 関東理工系学生対校陸上競技大会,鴻巣市立陸上競技場,2011-09-02,2011-09-02
257,第26回　国公立22大学対校陸上競技大会,古河市広域中央運動公園陸上競技場,2011-09-17,2011-09-17
258,第219回　日本体育大学長距離競技会,日本体育大学,2011-10-29,2011-10-29
259,第10回 かわさき陸上競技フェスティバル,等々力,2011-10-29,2011-10-29
260,第14回　東京大学競技会,東京大学,2011-11-05,2011-11-05
261,JBMA神宮外苑ロードレース,国立霞ヶ丘競技場及び外苑周回道路,2011-11-13,2011-11-13
262,第8回14大学対校陸上競技大会,新座市立陸上競技場,2011-11-26,2011-11-26
263,第221回　日本体育大学長距離競技会,日本体育大学,2011-12-04,2011-12-04
264,第38回平成国際大学競技会,平成国際大学,2011-12-10,2011-12-10
265,第12回 荒川河川敷大学対校駅伝,荒川河川敷,2011-12-18,2011-12-18
266,上尾市陸上競技選手権結果,,2011-12-23,2011-12-23
267,春期オープン,江東区夢の島競技場,2012-03-22,2012-03-22
268,第8回国士館競技会,国士館,2012-03-26,2012-03-26
269,第1回国士舘大学競技会,国士舘,2012-04-07,2012-04-07
270,神奈川県記録会,神奈川県川崎市等々力陸上競技場,2012-04-14,2012-04-14
271,第73回日本体育大学記録会,日本体育大学健志台競技場,2012-04-28,2012-04-28
272,第223回日本体育大学長距離競技会,日本体育大学健志台競技場,2012-05-05,2012-05-05
273,石川県選手権大会,西部緑地公園,2012-05-05,2012-05-05
274,第91回関東学生陸上競技対校選手権大会,国立競技場,2012-05-12,2012-05-12
275,第60回東京地区国公立大学対校陸上競技大会,都立大井ふ頭中央海浜公園陸上競技場,2012-06-02,2012-06-02
276,第9回13大学対校陸上競技大会,小田原市城山陸上競技場,2012-06-16,2012-06-16
277,早大同記録会,舎人公園陸上競技場,2012-06-23,2012-06-23
278,第67回国民体育大会石川県予選会,西部緑地公園,2012-07-14,2012-07-14
279,第5回日本大学競技会,日本大学,2012-07-15,2012-07-15
280,第64回石川県民体育大会,志賀町陸上競技場,2012-08-12,2012-08-12
281,第27回国公立22大学対校陸上競技大会,仙台市陸上競技場,2012-08-28,2012-08-28
282,第44回関東理工系学生対校陸上競技大会,鴻巣市立陸上競技場,2012-09-08,2012-09-08
283,第76回日本体育大学陸上競技会,日本体育大学健志台競技場,2012-09-29,2012-09-29
284,早稲田大学陸上競技同好会記録挑戦会,上柚木公園陸上競技場,2012-09-30,2012-09-30
285,越谷カップ陸上競技記録会,越谷陸上競技場,2012-10-27,2012-10-27
286,第39回平成国際大学競技会,鴻巣市立陸上競技場,2012-10-27,2012-10-27
287,第11回かわさき陸上競技フェスティバル,等々力陸上競技場,2012-10-28,2012-10-28
288,第16回東京大学競技会,東京大学,2012-11-03,2012-11-03
289,日本体育大学陸上競技選手権,日本体育大学健志台競技場,2012-11-10,2012-11-10
290,第227回日本体育大学長距離競技会,日本体育大学健志台競技場,2012-11-18,2012-11-18
291,第228回日本体育大学長距離競技会,日本体育大学健志台競技場,2012-12-01,2012-12-01
292,第13回荒川河川敷大学対校駅伝,荒川河川敷,2012-12-16,2012-12-16
293,第13回日本体育大学女子長距離競技会,日本体育大学健志台競技場,2012-12-22,2012-12-22
294,第57回調布市民駅伝競走大会,味の素スタジアム,2013-01-27,2013-01-27
295,第10回22大学対校陸上競技大会,熊谷スポーツ文化公園陸上競技場,2013-02-16,2013-02-16
296,藍の町羽生さわやかマラソン,,2013-03-10,2013-03-10
297,第17回東京大学競技会,東京大学陸上競技場,2013-03-17,2013-03-17
298,藤間杯棒高跳競技会,浦和駒場スタジアム,2013-03-20,2013-03-20
299,第9回越谷市春季陸上競技記録会,越谷市立しらこばと運動公園陸上競技場,2013-03-23,2013-03-23
300,第1回筑波大学競技会,筑波大学陸上競技場,2013-04-01,2013-04-01
301,第78回日本体育大学競技会,日本体育大学健志台陸上競技場,2013-04-27,2013-04-27
302,第16回豊島区春季陸上競技会,江東区夢の島競技場,2013-05-04,2013-05-04
303,第74回石川県陸上競技選手権大会,石川県西部緑地公園陸上競技場,2013-05-04,2013-05-04
304,日本大学競技会,日本大学陸上競技場,2013-05-05,2013-05-05
305,第230回日本体育大学長距離競技会,日本体育大学健志台陸上競技場,2013-05-11,2013-05-11
306,第92回関東学生陸上競技選手権大会,国立競技場,2013-05-18,2013-05-18
307,第61回東京地区国公立大学対校陸上競技大会,町田市立陸上競技場,2013-06-01,2013-06-01
308,第231回日本体育大学長距離競技会,日本体育大学健志台陸上競技場,2013-06-15,2013-06-15
309,2013日本学生陸上競技個人選手権大会,:Shonan BMWスタジアム平塚,2013-06-22,2013-06-22
310,第10回13大学対校陸上競技大会,八王子市上柚木公園陸上競技場,2013-07-06,2013-07-06
311,第154回東海大学長距離競技会,東海大学湘南校舎陸上競技場,2013-07-13,2013-07-13
312,第68回国民体育大会（陸上競技）石川県予選会,石川県西部緑地公園陸上競技場,2013-07-21,2013-07-21
313,第9回N.S.S.Uオープン競技会,日本体育大学健志台陸上競技場,2013-08-11,2013-08-11
314,第57回北陸陸上競技選手権大会,新潟市陸上競技場,2013-08-24,2013-08-24
315,2013東京アスレチックチャレンジ,国立競技場,2013-09-01,2013-09-01
316,第24回関東学生新人陸上競技選手権大会　 兼　関東学生リレー競技会,国立競技場,2013-09-15,2013-09-15
317,第45回関東理工系学生対校陸上競技大会,鴻巣市陸上競技場,2013-09-22,2013-09-22
318,第28回国公立23大学対校陸上競技大会,町田市立陸上競技場,2013-10-14,2013-10-14
319,第12回かわさき陸上競技フェスティバル,町田市立陸上競技場,2013-10-20,2013-10-20
320,第７回国士舘大学競技会,国士舘大学多摩陸上競技場,2013-11-02,2013-11-02
321,第18回東京大学陸上競技会,東京教養学部第一グラウンド,2013-11-02,2013-11-02
322,第20回早稲田大学陸上競技同好会記録挑戦会,町田市立陸上競技場,2013-11-09,2013-11-09
323,第234回日本体育大学長距離競技会,日本体育大学健志台陸上競技場,2013-11-17,2013-11-17
324,10000m記録挑戦競技会,国立競技場,2013-11-23,2013-11-23
325,第235回日本体育大学長距離競技会,日本体育大学健志台陸上競技場,2013-12-01,2013-12-01
